제품명,급여구분,특정연령,특정연령단위,업체명,금기연령층
아네스크림_(20g),비급여,3,개월 이하,태극제약(주),영유아
엠투카인크림_(30g),비급여,3,개월 이하,맥널티제약(주),영유아
엠에스크림_(30g),비급여,3,개월 이하,오스틴제약(주),영유아
제이프로크림_(30g),비급여,3,개월 이하,(주)비보존제약,영유아
마네신크림_(30g),비급여,3,개월 이하,(주)티디에스팜,영유아
싸이로칸정500밀리그람(염산시프로플록사신)_(0.582g/1정),비급여,18,세 미만,(주)하원제약,청소년
케이타솔로션(클로베타솔프로피오네이트)_(55mg/110mL),비급여,24,개월 미만,에이치케이이노엔(주),영유아
듀오벡스액(클로베타솔프로피오네이트)_(50mg/100g),비급여,24,개월 미만,주식회사 더유제약,영유아
클로벡스액0.05%(클로베타솔프로피오네이트)_(62.5mg/125mL),비급여,24,개월 미만,갈더마코리아(주),영유아
도모호론액0.05%(클로베타솔프로피오네이트)_(75mg/150g),비급여,24,개월 미만,㈜동구바이오제약,영유아
한국유나이티드닥티노마이신주_(0.5mg/1병),비급여,1,세 미만,한국유나이티드제약(주),영유아
삼진디클로페낙나트륨주사_(75mg/3mL),비급여,4,주 미만,삼진제약(주),소아
유니페낙주3밀리리터(디클로페낙나트륨)(수출명:Union diclofenac sodium Inj.75㎎)_(75mg/3mL),비급여,4,주 미만,한국유니온제약(주),소아
스파토민캡슐(디시클로민염산염)_(10mg/1캡슐),비급여,6,개월 이하,조아제약(주),영유아
이지정(디시클로민염산염)_(10mg/1정),비급여,6,개월 이하,신일제약(주),영유아
디에칠정(디에틸프로피온염산염)_(25mg/1정),비급여,16,세 이하,(주)인트로바이오파마,청소년
엠피온정(디에틸프로피온염산염)_(25mg/1정),비급여,16,세 이하,(주)마더스제약,청소년
디피온정(디에틸프로피온염산염)_(25mg/1정),비급여,16,세 이하,(주)바이넥스,청소년
암페몬정(디에틸프로피온염산염)_(25mg/1정),비급여,16,세 이하,조아제약(주),청소년
에닝정(디에틸프로피온염산염)_(25mg/1정),비급여,16,세 이하,태극제약(주),청소년
슬리피온정(디에틸프로피온염산염)_(25mg/1정),비급여,16,세 이하,한국휴텍스제약(주),청소년
레노씬정(디에틸프로피온염산염)_(25mg/1정),비급여,16,세 이하,명문제약(주),청소년
레폭신정(레보플록사신수화물)_(0.1g/1정),급여,18,세 이하,경동제약(주),청소년
레포신정100밀리그램(레보플록사신)_(0.1g/1정),급여,18,세 이하,신풍제약(주),청소년
코비잘나잘스프레이(모메타손푸로에이트)_(7mg/140회),급여,24,개월 미만,아주약품(주),영유아
나조타손나잘스프레이(모메타손푸로에이트)_(7mg/140회),급여,24,개월 미만,(주)동구바이오제약,영유아
비조넥스나잘스프레이(모메타손푸로에이트)_(7mg/140회),급여,24,개월 미만,하나제약(주),영유아
코에타손점비액(모메타손푸로에이트)_(7mg/140회),급여,24,개월 미만,(주)비보존제약,영유아
모노넥스점비액(모메타손푸로에이트)_(7mg/140회),급여,24,개월 미만,이연제약(주),영유아
비코넥스나잘스프레이(모메타손푸로에이트)_(7mg/140회),급여,24,개월 미만,한국프라임제약(주),영유아
모메코나잘스프레이(모메타손푸로에이트)_(7mg/140회),급여,24,개월 미만,(주)경보제약,영유아
모메씨티나잘스프레이액(모메타손푸로에이트)_(7mg/140회),급여,24,개월 미만,(주)씨티씨바이오,영유아
모메탈나잘스프레이(모메타손푸로에이트)_(7mg/140회),급여,24,개월 미만,대한뉴팜(주),영유아
코에잘스프레이(모메타손푸로에이트)_(7mg/140회),급여,24,개월 미만,(주)팜젠사이언스,영유아
알비프로나잘스프레이(모메타손푸로에이트)_(7mg/140회),급여,24,개월 미만,(주)휴온스메디텍,영유아
비알코넥스나잘스프레이(모메타손푸로에이트)_(7mg/140회),급여,24,개월 미만,(주)보령바이오파마,영유아
모메타온점비액(모메타손푸로에이트)_(7mg/140회),급여,24,개월 미만,주식회사제뉴원사이언스,영유아
네젤렉스나잘스프레이(모메타손푸로에이트)_(7mg/140회),급여,24,개월 미만,대원제약(주),영유아
코비타손나잘스프레이(모메타손푸로에이트)_(7mg/140회),급여,24,개월 미만,(주)라이트팜텍,영유아
나조메손나잘스프레이액(모메타손푸로에이트)_(7mg/140회),급여,24,개월 미만,대웅바이오(주),영유아
노메타손점비액(모메타손푸로에이트)_(7mg/140회),급여,24,개월 미만,정우신약(주),영유아
크린티손크림(모메타손푸로에이트)_(30mg/30g),급여,2,세 이하,삼천당제약(주),영유아
모메손크림(모메타손푸로에이트)_(30mg/30g),급여,2,세 이하,오스틴제약(주),영유아
더모타손엠엘이크림(모메타손푸로에이트)_(30mg/30g),급여,2,세 이하,(주)동구바이오제약,영유아
라벨리아로션(모메타손푸로에이트)_(30mg/30g),급여,2,세 이하,태극제약(주),영유아
모리코트로션(모메타손푸로에이트)_(30mg/30g),급여,2,세 이하,동광제약(주),영유아
테리손로션(모메타손푸로에이트)_(30mg/30g),급여,2,세 이하,(주)메디카코리아,영유아
코코타손로션(모메타손푸로에이트)_(30mg/30g),급여,2,세 이하,한국휴텍스제약(주),영유아
더모타손엠엘이로션(모메타손푸로에이트)_(30mg/30g),급여,2,세 이하,(주)동구바이오제약,영유아
큐어덤로션(모메타손푸로에이트)_(30mg/30g),급여,2,세 이하,위더스제약(주),영유아
프로몬로션(모메타손푸로에이트)_(30mg/30g),급여,2,세 이하,(주)제뉴파마,영유아
라벨리아로션(모메타손푸로에이트)_(50mg/50g),급여,2,세 이하,태극제약(주),영유아
모멘타로션(모메타손푸로에이트)_(60mg/60g),급여,2,세 이하,주식회사 더유제약,영유아
모타손로션(모메타손푸로에이트)_(60mg/60g),급여,2,세 이하,(주)휴비스트제약,영유아
테뉴에이트정(디에틸프로피온염산염)_(25mg/1정),비급여,16,세 이하,알보젠코리아(주),청소년
엘피온정25밀리그램(디에틸프로피온염산염)_(25mg/1정),비급여,16,세 이하,(주)한국파마,청소년
웰피온정(디에틸프로피온염산염)_(25mg/1정),비급여,16,세 이하,(주)휴온스,청소년
레피온정(디에틸프로피온염산염)_(25mg/1정),비급여,16,세 이하,(주)제뉴파마,청소년
카조라정2mg(독사조신메실산염)_(2.43mg/1정),비급여,12,세 이하,미래바이오제약㈜,소아
뉴로자핀정2.5밀리그램(올란자핀)_(2.5mg/1정),급여,13,세 미만,명인제약(주),청소년
자이레핀정2.5밀리그램(올란자핀)_(2.5mg/1정),급여,13,세 미만,환인제약(주),청소년
산도스올란자핀정2.5밀리그램_(2.5mg/1정),급여,13,세 미만,한국산도스(주),청소년
